iter	Passed	Remaining
772	12836	8137
773	12851	8119
774	12869	8103
775	12885	8086
776	12900	8069
777	12915	8051
778	12930	8033
779	12946	8017
780	12963	8000
781	12982	7985
782	12996	7967
783	13014	7951
784	13032	7935
785	13048	7918
786	13064	7901
787	13080	7884
788	13094	7866
789	13111	7850
790	13127	7833
791	13141	7815
792	13158	7798
793	13173	7781
794	13188	7764
795	13205	7747
796	13220	7730
797	13236	7712
798	13250	7695
799	13266	7678
800	13284	7662
801	13299	7644
802	13314	7627
803	13330	7610
804	13345	7592
805	13361	7576
806	13378	7559
807	13393	7542
808	13408	7524
809	13422	7506
810	13437	7489
811	13453	7472
812	13468	7454
813	13484	7437
814	13500	7420
815	13516	7404
816	13533	7387
817	13549	7371
818	13564	7353
819	13580	7336
820	13594	7318
821	13609	7301
822	13622	7283
823	13639	7266
824	13655	7249
825	13669	7231
826	13683	7214
827	13698	7196
828	13711	7178
829	13728	7162
830	13743	7144
831	13759	7127
832	13777	7112
833	13791	7094
834	13809	7078
835	13825	7061
836	13840	7044
837	13856	7027
838	13873	7011
839	13890	6995
840	13908	6979
841	13929	6964
842	13949	6950
843	13967	6934
844	13983	6917
845	14000	6900
846	14016	6884
847	14032	6867
848	14049	6850
849	14066	6834
850	14081	6817
851	14098	6800
852	14114	6784
853	14131	6767
854	14145	6750
855	14160	6732
856	14177	6716
857	14192	6699
858	14211	6683
859	14230	6668
860	14246	6651
861	14264	6635
862	14282	6619
863	14302	6604
864	14322	6590
865	14342	6575
866	14362	6559
867	14382	6545
868	14400	6529
869	14416	6512
870	14433	6495
871	14449	6479
872	14467	6463
873	14484	6446
874	14503	6431
875	14522	6415
876	14541	6400
877	14559	6384
878	14578	6368
879	14594	6352
880	14613	6336
881	14633	6321
882	14650	6304
883	14668	6289
884	14686	6272
885	14703	6256
886	14718	6238
887	14733	6222
888	14749	6205
889	14766	6188
890	14783	6172
891	14799	6155
892	14818	6139
893	14835	6123
894	14855	6108
895	14876	6093
896	14894	6077
897	14911	6060
898	14929	6044
899	14945	6028
900	14962	6011
901	14980	5995
902	14997	5979
903	15014	5962
904	15030	5945
905	15046	5929
906	15062	5912
907	15079	5895
908	15095	5878
909	15116	5863
910	15132	5847
911	15149	5830
912	15165	5813
913	15181	5796
914	15198	5780
915	15212	5762
916	15226	5745
917	15242	5728
918	15256	5710
919	15272	5693
920	15288	5677
921	15306	5661
922	15319	5643
923	15338	5627
924	15356	5611
925	15373	5594
926	15391	5578
927	15408	5562
928	15424	5545
929	15440	5528
930	15457	5512
931	15473	5495
932	15488	5478
933	15505	5461
934	15521	5444
935	15538	5428
936	15554	5411
937	15571	5395
938	15586	5377
939	15604	5361
940	15619	5344
941	15635	5328
942	15657	5313
943	15680	5298
944	15706	5285
945	15726	5269
946	15743	5253
947	15758	5236
948	15774	5219
949	15790	5202
950	15806	5185
951	15821	5168
952	15839	5152
953	15856	5135
954	15871	5118
955	15889	5102
956	15906	5085
957	15923	5069
958	15941	5053
959	15960	5037
960	15980	5021
961	15998	5005
962	16020	4990
963	16037	4974
964	16053	4957
965	16072	4941
966	16086	4924
967	16103	4907
968	16122	4891
969	16137	4874
970	16154	4857
971	16173	4841
972	16188	4824
973	16204	4808
974	16232	4794
975	16254	4779
976	16272	4763
977	16294	4748
978	16313	4732
979	16332	4716
980	16350	4700
981	16367	4683
982	16384	4667
983	16399	4649
984	16416	4633
985	16431	4616
986	16451	4600
987	16467	4583
988	16488	4568
989	16505	4551
990	16525	4535
991	16542	4519
992	16559	4502
993	16578	4486
994	16598	4470
995	16615	4454
996	16632	4437
997	16649	4420
998	16668	4404
999	16683	4387
1000	16699	4370
1001	16713	4353
1002	16730	4336
1003	16745	4319
1004	16762	4303
1005	16779	4286
1006	16795	4269
1007	16812	4253
1008	16828	4236
1009	16845	4219
1010	16860	4202
1011	16876	4185
1012	16892	4169
1013	16912	4152
1014	16928	4136
1015	16944	4119
1016	16961	4102
1017	16981	4086
1018	16997	4070
1019	17017	4054
1020	17035	4037
1021	17055	4021
1022	17073	4005
1023	17090	3988
1024	17106	3971
1025	17124	3955
1026	17140	3938
1027	17154	3921
1028	17173	3905
1029	17190	3888
1030	17208	3872
1031	17224	3855
1032	17241	3838
1033	17258	3822
1034	17279	3806
1035	17295	3789
1036	17312	3773
1037	17327	3756
1038	17342	3738
1039	17357	3721
1040	17376	3705
1041	17392	3688
1042	17414	3673
1043	17432	3656
1044	17446	3639
1045	17463	3622
1046	17479	3606
1047	17494	3588
1048	17509	3572
1049	17526	3555
1050	17538	3537
1051	17555	3521
1052	17571	3504
1053	17587	3487
1054	17603	3470
1055	17619	3453
1056	17636	3437
1057	17650	3420
1058	17669	3403
1059	17684	3386
1060	17701	3370
1061	17715	3352
1062	17731	3336
1063	17748	3319
1064	17763	3302
1065	17777	3285
1066	17793	3268
1067	17810	3251
1068	17826	3235
1069	17840	3217
1070	17855	3200
1071	17871	3184
1072	17887	3167
1073	17904	3150
1074	17922	3134
1075	17937	3117
1076	17951	3100
1077	17964	3083
1078	17980	3066
1079	17996	3049
1080	18013	3032
1081	18029	3015
1082	18044	2999
1083	18061	2982
1084	18078	2965
1085	18093	2948
1086	18110	2932
1087	18127	2915
1088	18139	2898
1089	18153	2881
1090	18170	2864
1091	18187	2847
1092	18204	2831
1093	18220	2814
1094	18236	2797
1095	18251	2781
1096	18268	2764
1097	18285	2747
1098	18301	2731
1099	18318	2714
1100	18334	2697
1101	18349	2680
1102	18363	2663
1103	18379	2647
1104	18393	2629
1105	18411	2613
1106	18427	2596
1107	18442	2579
1108	18458	2563
1109	18473	2546
1110	18489	2529
1111	18505	2512
1112	18522	2496
1113	18538	2479
1114	18553	2462
1115	18569	2445
1116	18582	2428
1117	18598	2412
1118	18613	2395
1119	18629	2378
1120	18645	2361
1121	18660	2345
1122	18676	2328
1123	18692	2311
1124	18707	2294
1125	18724	2278
1126	18738	2261
1127	18753	2244
1128	18770	2227
1129	18789	2211
1130	18804	2194
1131	18819	2177
1132	18833	2160
1133	18850	2144
1134	18865	2127
1135	18881	2110
1136	18893	2093
1137	18909	2077
1138	18924	2060
1139	18938	2043
1140	18955	2026
1141	18970	2010
1142	18987	1993
1143	19004	1976
1144	19021	1960
1145	19044	1944
1146	19061	1927
1147	19078	1911
1148	19097	1894
1149	19115	1878
1150	19131	1861
1151	19153	1845
1152	19172	1829
1153	19188	1812
1154	19206	1795
1155	19223	1779
1156	19239	1762
1157	19256	1746
1158	19273	1729
1159	19291	1712
1160	19309	1696
1161	19323	1679
1162	19341	1663
1163	19360	1646
1164	19376	1629
1165	19394	1613
1166	19411	1596
1167	19427	1580
1168	19442	1563
1169	19459	1546
1170	19475	1530
1171	19493	1513
1172	19507	1496
1173	19522	1479
1174	19539	1463
